figure,dataset,x_axis,curve,lambda,M_lambda,y_max,source
7,SG+Wheel,lambda,T=90,3,4.01,7.5,measured
7,SG+Wheel,lambda,T=90,4,2.939,7.5,measured
7,SG+Wheel,lambda,T=90,5,1.929,7.5,measured
7,SG+Wheel,lambda,T=90,6,0.949,7.5,measured
7,SG+Wheel,lambda,T=90,7,0.092,7.5,measured
7,SG+Wheel,lambda,T=90,8,0.092,7.5,measured
7,Benzene,lambda,T=30,1,2.131,4.0,measured
7,Benzene,lambda,T=30,2,1.412,4.0,measured
7,Benzene,lambda,T=30,3,0.906,4.0,measured
7,Benzene,lambda,T=30,4,0.359,4.0,measured
7,Benzene,lambda,T=30,5,0.0,4.0,inferred
7,Benzene,lambda,T=30,6,0.09,4.0,measured
7,Benzene,lambda,T=50,1,2.743,4.0,measured
7,Benzene,lambda,T=50,2,1.878,4.0,measured
7,Benzene,lambda,T=50,3,1.176,4.0,measured
7,Benzene,lambda,T=50,4,0.522,4.0,measured
7,Benzene,lambda,T=50,5,0.082,4.0,measured
7,Benzene,lambda,T=50,6,0.082,4.0,measured
7,Benzene,lambda,T=70,1,3.347,4.0,measured
7,Benzene,lambda,T=70,2,2.367,4.0,measured
7,Benzene,lambda,T=70,3,1.535,4.0,measured
7,Benzene,lambda,T=70,4,0.522,4.0,inferred
7,Benzene,lambda,T=70,5,0.0,4.0,inferred
7,Benzene,lambda,T=70,6,0.0,4.0,inferred
7,Benzene,lambda,T=90,1,3.641,4.0,measured
7,Benzene,lambda,T=90,2,2.563,4.0,measured
7,Benzene,lambda,T=90,3,1.551,4.0,measured
7,Benzene,lambda,T=90,4,0.751,4.0,measured
7,Benzene,lambda,T=90,5,0.049,4.0,measured
7,Benzene,lambda,T=90,6,0.049,4.0,measured
7,FC,lambda,T=30,1,1.543,4,measured
7,FC,lambda,T=30,2,0.841,4,measured
7,FC,lambda,T=30,3,0.269,4,measured
7,FC,lambda,T=30,4,0.09,4,measured
7,FC,lambda,T=30,5,0.0,4,inferred
7,FC,lambda,T=50,1,2.22,4,measured
7,FC,lambda,T=50,2,1.176,4,measured
7,FC,lambda,T=50,3,0.539,4,measured
7,FC,lambda,T=50,4,0.082,4,measured
7,FC,lambda,T=50,5,0.082,4,measured
7,FC,lambda,T=70,1,2.922,4,measured
7,FC,lambda,T=70,2,1.812,4,measured
7,FC,lambda,T=70,3,0.816,4,measured
7,FC,lambda,T=70,4,0.0,4,inferred
7,FC,lambda,T=70,5,0.09,4,measured
7,FC,lambda,T=90,1,3.135,4,measured
7,FC,lambda,T=90,2,2.204,4,measured
7,FC,lambda,T=90,3,1.208,4,measured
7,FC,lambda,T=90,4,0.049,4,measured
7,FC,lambda,T=90,5,0.049,4,measured
8,SG+House,lambda,T=30,1,3.408,10,measured
8,SG+House,lambda,T=30,2,1.49,10,measured
8,SG+House,lambda,T=30,3,0.837,10,measured
8,SG+House,lambda,T=30,4,0.122,10,measured
8,SG+House,lambda,T=30,5,0.0,10,inferred
8,SG+House,lambda,T=30,6,0.224,10,measured
8,SG+House,lambda,T=50,1,3.918,10,measured
8,SG+House,lambda,T=50,2,2.857,10,measured
8,SG+House,lambda,T=50,3,1.918,10,measured
8,SG+House,lambda,T=50,4,0.327,10,measured
8,SG+House,lambda,T=50,5,0.204,10,measured
8,SG+House,lambda,T=50,6,0.204,10,measured
8,SG+House,lambda,T=70,1,4.694,10,measured
8,SG+House,lambda,T=70,2,2.571,10,measured
8,SG+House,lambda,T=70,3,1.673,10,measured
8,SG+House,lambda,T=70,4,0.878,10,measured
8,SG+House,lambda,T=70,5,0.224,10,measured
8,SG+House,lambda,T=70,6,0.0,10,inferred
8,SG+House,lambda,T=90,1,6.0,10,measured
8,SG+House,lambda,T=90,2,3.469,10,measured
8,SG+House,lambda,T=90,3,1.388,10,measured
8,SG+House,lambda,T=90,4,0.571,10,measured
8,SG+House,lambda,T=90,5,0.122,10,measured
8,SG+House,lambda,T=90,6,0.122,10,measured
8,SG+Diamond,lambda,T=30,1,1.847,5,measured
8,SG+Diamond,lambda,T=30,2,1.102,5,measured
8,SG+Diamond,lambda,T=30,3,0.357,5,measured
8,SG+Diamond,lambda,T=30,4,0.112,5,measured
8,SG+Diamond,lambda,T=30,5,0.0,5,inferred
8,SG+Diamond,lambda,T=50,1,2.408,5,measured
8,SG+Diamond,lambda,T=50,2,1.224,5,measured
8,SG+Diamond,lambda,T=50,3,0.694,5,measured
8,SG+Diamond,lambda,T=50,4,0.102,5,measured
8,SG+Diamond,lambda,T=50,5,0.102,5,measured
8,SG+Diamond,lambda,T=70,1,3.98,5,measured
8,SG+Diamond,lambda,T=70,2,2.673,5,measured
8,SG+Diamond,lambda,T=70,3,0.898,5,measured
8,SG+Diamond,lambda,T=70,4,0.0,5,inferred
8,SG+Diamond,lambda,T=70,5,0.112,5,measured
8,SG+Diamond,lambda,T=90,1,3.286,5,measured
8,SG+Diamond,lambda,T=90,2,2.02,5,measured
8,SG+Diamond,lambda,T=90,3,1.02,5,measured
8,SG+Diamond,lambda,T=90,4,0.061,5,measured
8,SG+Diamond,lambda,T=90,5,0.061,5,measured
8,SG+Wheel,lambda,T=30,1,2.403,7.5,measured
8,SG+Wheel,lambda,T=30,2,1.362,7.5,measured
8,SG+Wheel,lambda,T=30,3,0.964,7.5,measured
8,SG+Wheel,lambda,T=30,4,0.612,7.5,measured
8,SG+Wheel,lambda,T=30,5,0.031,7.5,measured
8,SG+Wheel,lambda,T=30,6,0.122,7.5,measured
8,SG+Wheel,lambda,T=30,7,0.184,7.5,measured
8,SG+Wheel,lambda,T=30,8,0.184,7.5,measured
8,SG+Wheel,lambda,T=50,1,3.49,7.5,measured
8,SG+Wheel,lambda,T=50,2,1.837,7.5,measured
8,SG+Wheel,lambda,T=50,3,1.194,7.5,measured
8,SG+Wheel,lambda,T=50,4,0.827,7.5,measured
8,SG+Wheel,lambda,T=50,5,0.153,7.5,measured
8,SG+Wheel,lambda,T=50,6,0.061,7.5,measured
8,SG+Wheel,lambda,T=50,7,0.153,7.5,measured
8,SG+Wheel,lambda,T=50,8,0.153,7.5,measured
8,SG+Wheel,lambda,T=70,1,5.265,7.5,measured
8,SG+Wheel,lambda,T=70,2,3.643,7.5,measured
8,SG+Wheel,lambda,T=70,3,3.321,7.5,measured
8,SG+Wheel,lambda,T=70,4,1.99,7.5,measured
8,SG+Wheel,lambda,T=70,5,0.888,7.5,measured
8,SG+Wheel,lambda,T=70,6,0.184,7.5,measured
8,SG+Wheel,lambda,T=70,7,0.0,7.5,inferred
8,SG+Wheel,lambda,T=70,8,0.0,7.5,inferred
8,SG+Wheel,lambda,T=90,1,5.908,7.5,measured
8,SG+Wheel,lambda,T=90,2,4.194,7.5,measured
8,SG+Wheel,lambda,T=90,3,3.138,7.5,measured
8,SG+Wheel,lambda,T=90,4,1.071,7.5,measured
8,SG+Wheel,lambda,T=90,5,0.582,7.5,measured
8,SG+Wheel,lambda,T=90,6,0.398,7.5,measured
8,SG+Wheel,lambda,T=90,7,0.092,7.5,measured
8,SG+Wheel,lambda,T=90,8,0.092,7.5,measured
8,Benzene,lambda,T=30,1,1.543,4.0,measured
8,Benzene,lambda,T=30,2,0.89,4.0,measured
8,Benzene,lambda,T=30,3,0.433,4.0,measured
8,Benzene,lambda,T=30,4,0.106,4.0,measured
8,Benzene,lambda,T=30,5,0.0,4.0,inferred
8,Benzene,lambda,T=30,6,0.09,4.0,measured
8,Benzene,lambda,T=50,1,3.037,4.0,measured
8,Benzene,lambda,T=50,2,1.959,4.0,measured
8,Benzene,lambda,T=50,3,1.159,4.0,measured
8,Benzene,lambda,T=50,4,0.49,4.0,measured
8,Benzene,lambda,T=50,5,0.082,4.0,measured
8,Benzene,lambda,T=50,6,0.082,4.0,measured
8,Benzene,lambda,T=70,1,3.461,4.0,measured
8,Benzene,lambda,T=70,2,2.335,4.0,measured
8,Benzene,lambda,T=70,3,1.388,4.0,measured
8,Benzene,lambda,T=70,4,0.612,4.0,measured
8,Benzene,lambda,T=70,5,0.0,4.0,inferred
8,Benzene,lambda,T=70,6,0.0,4.0,inferred
8,Benzene,lambda,T=90,1,3.608,4.0,measured
8,Benzene,lambda,T=90,2,2.465,4.0,measured
8,Benzene,lambda,T=90,3,1.502,4.0,measured
8,Benzene,lambda,T=90,4,0.702,4.0,measured
8,Benzene,lambda,T=90,5,0.049,4.0,measured
8,Benzene,lambda,T=90,6,0.049,4.0,measured
8,FC,lambda,T=30,1,1.657,4,measured
8,FC,lambda,T=30,2,1.151,4,measured
8,FC,lambda,T=30,3,0.286,4,measured
